WonderSat.UTCGregorian     WonderSat.ElapsedSecs     WonderSat.Earth.Altitude   WonderSat.Earth.Latitude   WonderSat.Earth.Longitude   WonderSat.EarthMJ2000Eq.VX   WonderSat.EarthMJ2000Eq.VY   WonderSat.EarthMJ2000Eq.VZ   
10 Oct 2026 12:00:00.000   0                         679.8638472973853          0.1509642455734692         161.2363285506736           0                            7.458968455919893            0.9158461666487404           
10 Oct 2026 12:01:00.000   59.99999988125637         679.8465481068424          0.5992684789250012         164.6188429167611           -0.4804161192076309          7.443728593950297            0.9139651979880556           
10 Oct 2026 12:02:00.000   119.9999997625127         679.7929706493624          1.045160205105134          168.0019811385816           -0.9588756641861348          7.3980768734702              0.9083399088393784           
10 Oct 2026 12:03:31.715   211.7154529318213         679.6414520381659          1.718008693698669          173.1756804583941           -1.682040871129598           7.269976898264654            0.8925614114718049           
10 Oct 2026 12:05:07.915   307.915324671194          679.3933575449937          2.406279202351403          178.6068206070762           -2.423259925632696           7.061084354473912            0.8668364223694716           
10 Oct 2026 12:06:00.000   359.9999996018596         679.2216817438048          2.768966863892019          -178.4501460320845          -2.814477951803628           6.916869007988087            0.8490780899952488           
10 Oct 2026 12:07:00.000   419.999999483116          678.9921138522759          3.17626387630649           -175.0572862287659          -3.254368787969733           6.724349701014871            0.8253731846958866           
10 Oct 2026 12:08:31.705   511.7049008840695         678.5772307658872          3.773432693527044          -169.8655717813068          -3.900497452086135           6.377256702780981            0.7826389301972465           
10 Oct 2026 12:10:07.886   607.8860308974981         678.0622688104322          4.361325544882671          -164.4117336362425          -4.538191883465819           5.947812360301946            0.729770437830764            
10 Oct 2026 12:11:44.581   704.5813840697519         677.4667692531521          4.906529286627417          -158.9189942259669          -5.131393996555406           5.453015265590999            0.6688623696859477           
10 Oct 2026 12:13:21.323   801.3228428433649         676.7983869791824          5.400140365856688          -153.4134629586368          -5.670518702202302           4.899913559670004            0.6007842312377231           
10 Oct 2026 12:14:58.057   898.0568833183497         676.0636521025972          5.83649255145574           -147.8981767188246          -6.149491073227516           4.294606698766656            0.5262887735314691           
10 Oct 2026 12:16:34.776   994.775811850559          675.2695705196711          6.210791309324625          -142.3739705195808          -6.56317804801726            3.64354598364443             0.4461720779045325           
10 Oct 2026 12:18:11.477   1091.476965195034         674.4238048952984          6.518922840552541          -136.8417733218448          -6.907169709487502           2.953646652467596            0.3612873179159339           
10 Oct 2026 12:19:48.160   1188.159614754841         673.5346444164243          6.757486979089319          -131.3027495760994          -7.177802723359068           2.232227121311581            0.2725372462464285           
10 Oct 2026 12:21:00.000   1259.999999706633         672.8509632710256          6.88812291685003           -127.1826807742021          -7.329673678210147           1.680188263477955            0.204634037876942            
