UpperStage.UTCGregorian    UpperStage.ElapsedSecs    UpperStage.Earth.Altitude   UpperStage.EcoBrakeFuelTank.FuelMass   UpperStage.TotalMass      
10 Oct 2026 12:00:00.000   0                         679.8638722140513           15                                     115                       
10 Oct 2026 12:01:00.000   59.99999988125637         679.8466446379589           15                                     115                       
10 Oct 2026 12:02:00.000   119.9999997625127         679.7864879357749           14.69418960244649                      114.6941896024465         
10 Oct 2026 12:03:31.715   211.7154529318213         679.5341400571833           14.22673061685606                      114.2267306168561         
10 Oct 2026 12:05:07.915   307.915324671194          678.9249119954902           13.73641526633276                      113.7364152663328         
10 Oct 2026 12:06:00.000   359.9999996018596         678.3923751580633           13.47094801352948                      113.4709480135295         
10 Oct 2026 12:07:00.000   419.999999483116          677.5678191266379           13.47094801352948                      113.4709480135295         
10 Oct 2026 12:08:31.705   511.7049008840695         675.8671827860271           13.47094801352948                      113.4709480135295         
10 Oct 2026 12:10:07.886   607.8860308974981         673.526747647039            13.47094801352948                      113.4709480135295         
10 Oct 2026 12:11:44.581   704.5813840697519         670.6223508334715           13.47094801352948                      113.4709480135295         
10 Oct 2026 12:13:21.323   801.3228428433649         667.1925718800439           13.47094801352948                      113.4709480135295         
10 Oct 2026 12:14:58.057   898.0568833183497         663.2738757815368           13.47094801352948                      113.4709480135295         
10 Oct 2026 12:16:34.776   994.775811850559          658.9068549323301           13.47094801352948                      113.4709480135295         
10 Oct 2026 12:18:11.477   1091.476965195034         654.1368509940576           13.47094801352948                      113.4709480135295         
10 Oct 2026 12:19:48.160   1188.159614754841         649.0136101618991           13.47094801352948                      113.4709480135295         
10 Oct 2026 12:21:00.000   1259.999999706633         645.009011989916            13.47094801352948                      113.4709480135295         
